vggish_point,label
1047-1510,humpback
1047-1511,humpback
1047-1512,humpback
1047-1513,humpback
1047-1514,humpback
1047-1515,humpback
1047-1516,humpback
1047-1517,humpback
1047-1518,humpback
1047-1519,humpback
1047-1520,humpback
1047-1521,humpback
1047-1522,humpback
1047-1523,humpback
1047-1524,humpback
1047-1525,humpback
1047-1526,humpback
1047-1527,humpback
1047-1529,humpback
1047-1530,humpback
1047-1532,humpback
1047-1533,humpback
1047-1535,humpback
1047-1536,humpback
1047-1538,humpback
1047-1539,humpback
1047-1540,humpback
1047-1541,humpback
1047-1544,humpback
1047-1545,humpback
1047-1546,humpback
1047-1548,humpback
1047-1549,humpback
1047-1550,humpback
1047-1552,humpback
1047-1553,humpback
1047-1554,humpback
1047-1555,humpback
1047-1556,humpback
1047-1557,humpback
1047-1558,humpback
1047-1559,humpback
1047-1561,humpback
1047-1562,humpback
105-1127,humpback
105-1128,humpback
105-1145,humpback
105-1146,humpback
105-1147,humpback
105-1148,humpback
105-1149,humpback
105-1150,humpback
105-1154,humpback
105-1155,humpback
105-1181,humpback
105-1182,humpback
1052-1188,humpback
1052-1189,humpback
1052-1190,humpback
1052-1192,humpback
1052-1193,humpback
1052-1194,humpback
1052-1197,humpback
1052-1198,humpback
1052-1199,humpback
1052-1200,humpback
1052-1202,humpback
1052-1203,humpback
1052-1204,humpback
1052-1207,flow noise-humpback
1052-1208,flow noise-humpback
1052-1209,flow noise-humpback
1052-1210,flow noise
1052-1211,flow noise
1052-1213,humpback
1052-1214,flow noise-humpback
1052-1215,flow noise-humpback
1052-1216,flow noise
1052-1217,flow noise
1052-1218,flow noise
1052-1219,humpback
1052-1220,humpback
1052-1221,flow noise-humpback
1052-1222,flow noise-humpback
1052-1223,flow noise-humpback
1052-1224,flow noise-humpback
1052-1225,flow noise-humpback
1052-1226,flow noise-humpback
1052-1227,flow noise-humpback
1052-1230,humpback
1052-1231,humpback
1052-1232,humpback
1052-1233,humpback
1052-1241,humpback
1052-1242,humpback
1052-1243,humpback
1052-1246,humpback
1052-1247,humpback
1052-1248,humpback
1052-1249,humpback
1056-1063,flow noise-humpback
1056-1064,flow noise-humpback
1056-1065,flow noise-humpback
1056-1066,flow noise
1056-1067,flow noise
1056-1068,flow noise
1056-1083,humpback
1056-1084,humpback
1056-1085,humpback
1056-1089,humpback
1056-1090,humpback
1056-1091,humpback
1056-1099,humpback
1056-1100,humpback
1056-1101,humpback
1056-1110,humpback
1056-1111,humpback
1056-1116,humpback
1056-1117,humpback
1056-1118,humpback
1056-1119,humpback
1056-317,humpback
1056-318,humpback
1056-319,humpback
1056-323,humpback
1056-324,humpback
1056-325,humpback
1056-326,humpback
1056-331,humpback
1056-332,humpback
1056-333,humpback
1056-334,humpback
1056-336,humpback
1056-337,humpback
1056-338,humpback
1056-339,humpback
1056-340,humpback
1056-341,humpback
1056-342,humpback
1056-343,humpback
1056-344,humpback
1056-354,humpback
1056-355,humpback
1056-356,humpback
1056-359,humpback
1056-360,humpback
1056-361,humpback
1056-362,humpback
1056-363,humpback
1056-370,humpback
1056-371,humpback
1056-372,humpback
1057-1168,mooring
1057-1169,mooring
1057-1170,mooring
1057-1175,mooring
1057-1176,mooring
1057-1177,mooring
1061-534,humpback
1061-535,humpback
1061-536,humpback
1061-540,humpback
1061-541,humpback
1073-1250,boat
1073-1251,boat
1073-1252,boat
1073-1253,boat
1073-1254,boat
1073-1255,boat
1073-1256,boat
1073-1257,boat
1073-1258,boat
1073-1259,boat
1073-1260,boat
1073-1261,boat
1073-1262,boat
1073-1263,boat
1073-1264,boat
1073-1265,boat
1073-1266,boat
1073-1267,boat
1073-1268,boat
1073-1269,boat
1073-1270,boat
1073-1271,boat
1073-1272,boat
1073-1273,boat
1073-1274,boat
1073-1275,boat
1073-1276,boat
1073-1277,boat
1073-1278,boat
1073-1279,boat
1073-1280,boat
1073-1281,boat
1073-1282,boat
1073-1283,boat
1073-1284,boat
1073-1285,boat
1073-1286,boat
1073-1287,boat
1073-1288,boat
1073-1289,boat
1073-1290,boat
1073-1291,boat
1073-1292,boat
1073-1293,boat
1073-1294,boat
1073-1295,boat
1073-1296,boat
1073-1297,boat
1073-1298,boat
1073-1299,boat
1073-1300,boat
1073-1301,boat
1073-1302,boat
1073-1303,boat
1073-1304,boat
1073-1305,boat
1073-1306,boat
1073-1307,boat
1073-1308,boat
1073-1309,boat
1073-1310,boat
1073-1311,boat
1073-1312,boat
1073-1313,boat
1073-1314,boat
1073-1315,boat
1073-1316,boat
1073-1317,boat
1073-1318,boat
1073-1319,boat
1073-1320,boat
1073-1321,boat
1073-1322,boat
1073-1323,boat
1073-1324,boat
1073-1325,boat
1073-1326,boat
1073-1327,boat
1073-1328,boat
1073-1329,boat
1073-1330,boat
1073-1331,boat
1073-1332,boat
1073-1333,boat
1073-1334,boat
1073-1335,boat
1073-1336,boat
1073-1337,boat
1073-1338,boat
1073-1339,boat
1073-1340,boat
1073-1341,boat
1073-1342,boat
1073-1343,boat
1073-1344,boat
1073-1345,boat
1073-1346,boat
1073-1347,boat
1073-1348,boat
1073-1349,boat
1073-1350,boat
1073-1351,boat
1073-1352,boat
1073-1353,boat
1073-1354,boat
1073-1355,boat
1073-1356,boat
1073-1357,boat
1073-1358,boat
1073-1359,boat
1073-1360,boat
1073-1361,boat
1073-1362,boat
1073-1363,boat
1073-1364,boat
1073-1365,boat
1073-1366,boat
1073-1367,boat
1073-1368,boat
1073-1369,boat
1073-1370,boat
1073-1371,boat
1073-1372,boat
1073-1373,boat
1073-1374,boat
1073-1375,boat
1073-1376,boat
1073-1377,boat
1073-1378,boat
1073-1379,boat
1073-1380,boat
1073-1381,boat
1073-1382,boat
1073-1383,boat
1073-1384,boat
1073-1385,boat
1073-1386,boat
1073-1387,boat
1073-1388,boat
1073-1389,boat
1073-1390,boat
1073-1391,boat
1073-1392,boat
1073-1393,boat
1073-1394,boat
1073-1395,boat
1073-1396,boat
1073-1397,boat
1073-1398,boat
1073-1399,boat
1073-1400,boat
1073-1401,boat
1073-1402,boat
1073-1403,boat
1073-1404,boat
1073-1405,boat
1073-1406,boat
1073-1407,boat
1073-1408,boat
1073-1409,boat
1073-1410,boat
1073-1411,boat
1073-1412,boat
1073-1413,boat
1073-1414,boat
1073-1415,boat
1073-1416,boat
1073-1417,boat
1073-1418,boat
1073-1419,boat
1073-1420,boat
1073-1421,boat
1073-1422,boat
1073-1423,boat
1073-1424,boat
1073-1425,boat
1073-1426,boat
1073-1427,boat
1073-1428,boat
1073-1429,boat
1073-1430,boat
1073-1431,boat
1073-1432,boat
1073-1433,boat
1073-1434,boat
1073-1435,boat
1073-1436,boat
1073-1437,boat
1073-1562,boat
1073-1563,boat
1073-1564,boat
1073-1565,boat
1073-1566,boat
1073-1567,boat
1073-1568,boat
1073-1569,boat
1073-1570,boat
1073-1571,boat
1073-1572,boat
1073-1573,boat
1073-1574,boat
1073-1575,boat
1073-1576,boat
1073-1577,boat
1073-1578,boat
1073-1579,boat
1073-1580,boat
1073-1581,boat
1073-1582,boat
1073-1583,boat
1073-1584,boat
1073-1585,boat
1073-1586,boat
1073-1587,boat
1073-1588,boat
1073-1589,boat
1073-1590,boat
1073-1591,boat
1073-1592,boat
1073-1593,boat
1073-1594,boat
1073-1595,boat
1073-1596,boat
1073-1597,boat
1073-1598,boat
1073-1599,boat
1073-1600,boat
1073-1601,boat
1073-1602,boat
1073-1603,boat
1073-1604,boat
1073-1605,boat
1073-1606,boat
1073-1607,boat
1073-1608,boat
1073-1609,boat
1073-1610,boat
1073-1611,boat
1073-1612,boat
1073-1613,boat
1073-1614,boat
1073-1615,boat
1073-1616,boat
1073-1617,boat
1073-1618,boat
1073-1619,boat
1073-1620,boat
1073-1621,boat
1073-1622,boat
1073-1623,boat
1073-1624,boat
1074-250,flow noise
1074-251,flow noise
1074-252,flow noise
1074-253,flow noise
1074-262,humpback
1074-263,humpback
1074-264,humpback
1074-279,humpback
1074-280,humpback
1074-281,humpback
1079-1758,humpback
1079-1759,humpback
1079-1764,humpback
1079-1765,humpback
1079-1766,humpback
1079-1788,humpback
1079-1789,humpback
1079-1790,humpback
1079-1794,humpback
1079-1795,humpback
1079-1796,humpback
1082-1376,humpback
1082-1377,humpback
1082-1378,humpback
1082-1381,humpback
1082-1382,humpback
1082-1386,humpback
1082-1387,humpback
1082-1391,humpback
1082-1392,humpback
1082-1395,humpback
1082-1396,humpback
1082-1397,humpback
1082-1400,humpback
1082-1401,humpback
1082-1402,humpback
1082-1405,humpback
1082-1406,humpback
1082-1410,humpback
1082-1411,humpback
1082-1412,humpback
1082-1416,humpback
1082-1417,humpback
1082-1419,humpback
1082-1420,humpback
1082-1423,humpback
1082-1424,humpback
1082-1425,humpback
1082-1428,humpback
1082-1429,humpback
1087-1760,mooring
1087-1761,mooring
1087-1762,mooring
1087-1788,mooring
1087-1789,mooring
1087-1790,mooring
1087-1794,mooring
1087-1795,mooring
1087-1796,mooring
11-1753,humpback
11-1754,humpback
11-1755,humpback
11-1756,humpback
11-1757,humpback
11-1761,humpback
11-1762,humpback
11-1763,humpback
11-1768,helicopter
11-1769,helicopter
11-1770,helicopter
11-1771,helicopter
11-1772,helicopter
11-1773,helicopter
11-1774,helicopter
11-1775,helicopter
11-1776,helicopter
11-1777,helicopter
11-1778,helicopter
11-1780,humpback
11-1781,humpback
11-1782,humpback
11-1784,humpback
11-1785,humpback
11-1787,humpback
11-1788,humpback
11-1789,humpback
11-1790,humpback
11-1795,humpback
11-1796,humpback
110-445,humpback
110-446,humpback
110-447,humpback
110-448,humpback
110-453,humpback
110-454,humpback
110-455,humpback
110-462,flow noise
110-463,flow noise
110-464,flow noise
110-465,flow noise
110-466,flow noise
110-467,flow noise
110-468,flow noise
110-469,flow noise
110-470,flow noise
110-471,flow noise
110-472,flow noise
110-473,flow noise
110-474,flow noise
110-475,flow noise
110-476,flow noise
110-477,flow noise
110-478,flow noise
110-479,flow noise
110-480,flow noise
110-481,flow noise
110-482,flow noise
110-483,humpback
110-484,humpback
110-485,humpback
110-486,humpback
110-490,humpback
110-491,humpback
110-492,humpback
1101-1140,humpback
1101-1141,humpback-mooring
1101-1142,mooring
1101-1143,mooring
1101-1144,fish-mooring
1101-1145,fish
1101-1146,fish
1101-1147,fish
1101-1148,fish
1101-1153,fish
1101-1154,fish
1101-1155,fish
1101-1156,fish
1101-1157,fish
1101-1158,fish
1101-1159,fish
1101-1160,fish
1101-1161,fish
1101-1162,fish
1101-1169,humpback
1101-1170,humpback
1101-1171,humpback
1104-1250,humpback
1104-1251,humpback
1104-1252,humpback
1104-1253,humpback
1104-1254,humpback
1104-1255,humpback
1104-1256,humpback
1104-1258,humpback
1104-1259,humpback
1104-1260,humpback
1104-1263,humpback
1104-1264,humpback
1104-1265,humpback
1104-1268,humpback
1104-1269,humpback
1104-1270,humpback
1104-1271,humpback
1104-1272,humpback
1104-1273,humpback
1104-1274,humpback
1104-1275,humpback
1104-1276,humpback
1104-1277,humpback
1104-1278,humpback
1104-1279,humpback
1104-1280,humpback
1104-1281,humpback
1104-1282,humpback
1104-1283,humpback
1104-1284,humpback
1104-1285,humpback
1104-1286,humpback
1104-1289,humpback
1104-1290,humpback
1104-1293,humpback
1104-1294,humpback
1104-1295,humpback
1104-1298,humpback
1104-1299,humpback
1104-1300,humpback
1104-1301,humpback
1104-1302,humpback
1104-1303,humpback
1104-1304,humpback
1104-1305,humpback
1104-1308,humpback
1104-1309,humpback
1104-1310,humpback
1104-1311,humpback
1104-1312,humpback
1104-313,humpback
1104-314,humpback
1104-315,humpback
1104-316,humpback
1104-317,humpback
1104-318,humpback
1104-319,humpback
1104-321,flow noise-humpback
1104-322,flow noise-humpback
1104-323,flow noise-humpback
1104-324,flow noise-humpback
1104-325,humpback
1104-326,humpback
1104-327,humpback
1104-328,humpback
1104-329,humpback
1104-330,humpback
1104-332,humpback
1104-333,humpback
1104-334,humpback
1104-335,humpback
1104-336,humpback
1104-337,humpback
1104-338,humpback
1104-339,humpback
1104-340,humpback
1104-341,humpback
1104-343,humpback
1104-344,humpback
1104-346,humpback
1104-347,humpback
1104-348,humpback
1104-349,humpback
1104-350,humpback
1104-351,humpback
1104-352,humpback
1104-353,humpback
1104-354,humpback
1104-356,humpback
1104-357,humpback
1104-358,humpback
1104-359,humpback
1104-360,humpback
1104-362,humpback
1104-363,humpback
1104-365,humpback
1104-366,humpback
1104-370,humpback
1104-371,humpback
1104-372,humpback
1109-37,fish
1109-38,fish
1109-39,fish
1109-40,fish
1109-41,fish
1109-42,fish
1109-43,fish
1109-44,fish
1109-45,fish
1109-46,fish
1109-47,fish
1109-48,fish
1109-53,fish
1109-54,fish
1109-55,fish
1109-56,fish
1109-57,fish
1109-58,fish
1111-1586,flow noise
1111-1587,flow noise
1111-1588,flow noise
1111-1589,flow noise
1111-1590,flow noise
1111-1591,flow noise
1111-1592,flow noise
1111-1593,flow noise
1111-1594,flow noise
1111-1595,flow noise
1111-1596,flow noise
1111-1597,flow noise
1111-1598,flow noise
1111-1599,flow noise
1114-12,humpback
1114-13,humpback
1114-14,humpback
1114-17,humpback
1114-18,humpback
1114-40,humpback
1114-41,humpback
1114-42,humpback
1117-1375,flow noise
1117-1376,flow noise-mooring
1117-1377,flow noise-mooring
1117-1378,flow noise-mooring
1117-1379,flow noise-mooring
1117-1380,flow noise-mooring
1117-1381,flow noise-mooring
1117-1382,flow noise-mooring
1117-1383,flow noise-mooring
1117-1384,flow noise
1117-1385,flow noise
1117-1386,flow noise
1117-1387,flow noise
1117-1388,flow noise
1117-1389,flow noise
1117-1390,flow noise
1117-1391,flow noise
1117-1392,flow noise
1117-1393,flow noise
1117-1394,flow noise
1117-1395,flow noise
1117-1396,flow noise
1117-1407,flow noise
1117-1408,flow noise
1117-1409,flow noise
1117-1410,flow noise
1117-1411,flow noise
1117-1430,flow noise
1117-1431,flow noise
1117-1432,flow noise
1117-1433,flow noise
1126-1312,flow noise
1126-1313,flow noise
1126-1314,flow noise
1126-1315,flow noise
1126-1316,flow noise
1126-1317,flow noise-mooring
1126-1318,mooring
1126-1319,mooring
1126-1320,flow noise-mooring
1126-1321,flow noise-mooring
1126-1322,flow noise-mooring
1126-1323,flow noise
1126-1324,flow noise
1126-1326,flow noise
1126-1327,flow noise-mooring
1126-1328,flow noise-mooring
1126-1329,flow noise-mooring
1126-1330,flow noise
1126-1334,mooring
1126-1335,mooring
1126-1336,mooring
1126-1337,flow noise-mooring
1126-1338,flow noise-mooring
1126-1339,flow noise
1126-1340,flow noise
1126-1341,flow noise
1126-1342,flow noise
1126-1343,flow noise
1126-1344,flow noise
1126-1345,flow noise
1126-1346,flow noise
1126-1347,flow noise
1126-1348,flow noise
1126-1349,flow noise
1126-1350,flow noise
1126-1351,flow noise
1126-1352,flow noise
1126-1353,flow noise
1126-1354,flow noise
1126-1355,flow noise
1126-1356,flow noise
1126-1357,flow noise
1126-1358,flow noise
1126-1359,flow noise
1126-1360,flow noise
1126-1361,flow noise
1126-1362,flow noise
1126-1363,flow noise
1126-1364,flow noise
1126-1365,flow noise
1126-1366,mooring
1126-1367,flow noise-mooring
1126-1368,flow noise-mooring
1126-1369,flow noise-mooring
1126-1370,flow noise
1126-1371,flow noise
1126-1372,flow noise
1126-1373,flow noise
1126-1374,flow noise
1126-1625,flow noise-mooring
1126-1626,flow noise-mooring
1126-1627,flow noise-mooring
1126-1628,flow noise-mooring
1126-1629,flow noise-mooring
1126-1630,flow noise-mooring
1126-1631,flow noise-mooring
1126-1632,flow noise-mooring
1126-1634,flow noise
1126-1635,flow noise
1126-1636,flow noise
1126-1637,flow noise
1126-1638,flow noise
1126-1673,flow noise
1126-1674,flow noise
1126-1675,flow noise
1126-1676,flow noise-mooring
1126-1677,flow noise-mooring
1126-1678,flow noise-mooring
1126-1679,flow noise
1129-1331,mooring
1129-1332,mooring
1129-1333,flow noise-mooring
1129-1334,flow noise
1129-1335,flow noise
1129-1336,flow noise
1129-1337,flow noise
1129-1338,flow noise
1129-1339,flow noise
1129-1340,flow noise
1129-1341,flow noise
1129-1342,flow noise
1129-1343,flow noise
1129-1344,flow noise
1129-1345,flow noise-mooring
1129-1346,flow noise-mooring
1129-1347,flow noise-mooring
1129-1348,flow noise
1129-1349,flow noise
1129-1350,flow noise
1129-1351,flow noise
1129-1352,flow noise
1129-1353,flow noise
1129-1354,flow noise
1129-1355,flow noise
1129-1356,flow noise
1129-1357,flow noise
1129-1358,flow noise
1129-1359,flow noise
1129-1360,flow noise
1129-1361,flow noise
1129-1362,flow noise
1129-1363,flow noise
1129-1364,flow noise-mooring
1129-1365,flow noise-mooring
1129-1366,flow noise-mooring
1129-1367,flow noise
1129-1368,flow noise
1129-1369,flow noise
1129-1370,flow noise
1129-1371,flow noise
1129-1372,flow noise
1129-1373,flow noise
1129-1523,flow noise
1129-1524,flow noise
1129-1525,flow noise
1129-1526,flow noise
1129-1527,flow noise
1129-1528,flow noise
1129-1529,flow noise
1129-1530,flow noise
1129-1531,flow noise
1129-1532,flow noise
1129-1533,flow noise
1129-1534,flow noise
1129-1535,flow noise
1129-1536,flow noise
1129-1537,flow noise
1129-1538,flow noise
1129-1539,flow noise
1129-1540,flow noise
1129-1541,flow noise
1129-1542,flow noise
1129-1543,flow noise
1129-1544,flow noise
1129-1545,flow noise
1129-1550,flow noise
1129-1551,flow noise
1129-1552,flow noise
1129-1553,flow noise
1129-1554,flow noise
1129-1555,flow noise
1129-1556,flow noise
1129-1557,flow noise
1129-1558,flow noise
1129-1559,flow noise
1129-1560,flow noise
1129-1561,flow noise
1129-1562,flow noise
1129-440,mooring
1129-441,mooring
1129-442,mooring
1129-488,mooring
1129-489,mooring
1129-490,flow noise-mooring
1129-491,flow noise
1129-492,flow noise
1129-493,flow noise
1129-494,flow noise
1129-495,flow noise
1129-496,flow noise
1129-497,flow noise
1129-498,flow noise
1129-499,flow noise
1135-1004,humpback
1135-1005,humpback
1135-1006,humpback
1135-1021,humpback
1135-1022,humpback
1135-1023,humpback
1135-1044,humpback
1135-1045,humpback
1135-1046,humpback
1135-1047,humpback
1135-1048,humpback
1135-1049,humpback
1135-1050,humpback
1150-1040,helicopter
1150-1041,helicopter
1150-1042,helicopter
1150-1043,helicopter
1150-1044,helicopter
1150-1045,helicopter
1150-1046,helicopter
1150-1047,helicopter
1150-1048,helicopter
1150-1049,helicopter
1150-1050,helicopter
1150-1051,helicopter
1150-1052,helicopter
1155-1502,humpback
1155-1503,humpback
1155-1504,humpback
1155-1505,humpback
1155-1506,humpback
1155-1507,humpback
1155-1508,humpback
1155-1509,humpback
1155-1510,humpback
1155-1511,humpback
1155-1512,humpback
1155-1514,humpback
1155-1515,humpback
1155-1516,humpback
1155-1517,humpback
1155-1518,humpback
1155-1519,humpback
1155-1520,humpback
1155-1521,humpback
1155-1522,humpback
1155-1523,humpback
1155-1524,humpback
1155-1525,humpback
1155-1527,humpback
1155-1528,humpback
1155-1529,humpback
1155-1530,humpback
1155-1534,humpback
1155-1535,humpback
1155-1536,humpback
1155-1537,humpback
1155-1538,humpback
1155-1539,humpback
1155-1540,humpback
1155-1541,humpback
1155-1542,humpback
1155-1543,humpback
1155-1544,humpback
1155-1545,humpback
1155-1546,humpback
1155-1547,humpback
1155-1548,humpback
1155-1549,humpback
1155-1550,humpback
1155-1551,humpback
1155-1552,humpback
1155-1555,humpback
1155-1556,humpback
1155-1557,humpback
1155-194,humpback
1155-195,humpback
1155-196,humpback
1155-197,humpback
1155-200,humpback
1155-201,humpback
1155-202,humpback
1155-220,humpback
1155-221,humpback
1155-222,humpback
1155-223,humpback
1155-224,humpback
1155-226,humpback
1155-227,humpback
1155-228,humpback
1155-244,humpback
1155-245,humpback
1155-246,humpback
1155-247,humpback
1155-248,humpback
1157-1562,humpback
1157-1563,humpback
1157-1564,humpback
1157-1565,humpback
1157-1566,humpback
1157-1567,humpback
1157-1569,humpback
1157-1570,humpback
1157-1571,humpback
1157-1572,humpback
1157-1573,humpback
1157-1574,humpback
1157-1575,humpback
1157-1576,humpback
1157-1579,humpback
1157-1580,humpback
1157-1582,humpback
1157-1583,humpback
1157-1584,humpback
1157-1586,humpback
1157-1587,humpback
1157-1588,humpback
1157-1596,humpback
1157-1597,humpback
1157-1602,humpback
1157-1603,humpback
1157-1604,humpback
1157-1605,humpback
1157-1606,humpback
1157-1607,humpback
1157-1608,humpback
1157-1610,humpback
1157-1611,humpback
1157-1612,humpback
1157-1613,humpback
1157-1614,humpback
1157-1615,humpback
1157-1616,humpback
1157-1617,humpback
1157-1618,humpback
1157-1619,humpback
1157-1620,humpback
1157-1621,humpback
1157-1622,humpback
1157-1623,humpback
1157-1624,humpback
1159-251,humpback
1159-252,humpback
1159-253,humpback
1159-260,humpback
1159-261,humpback
1159-262,humpback
1159-270,humpback
1159-271,humpback
1159-272,humpback
1159-277,humpback
1159-278,humpback
1159-279,humpback
1159-280,humpback
1159-291,humpback
1159-292,humpback
1159-297,humpback
1159-298,humpback
1159-299,humpback
1159-305,humpback
1159-306,humpback
1159-307,humpback
1164-726,airplane
1164-727,airplane
1164-728,airplane
1164-729,airplane
1164-730,airplane
1164-731,airplane
1164-732,airplane
1166-1828,humpback
1166-1829,humpback
1166-1830,humpback
1166-1858,humpback
1166-1859,humpback
1166-1860,humpback
1167-125,flow noise
1167-126,flow noise
1167-127,flow noise
1167-128,flow noise
1167-129,flow noise
1167-130,flow noise
1167-131,flow noise
1167-132,flow noise
1167-133,flow noise
1167-134,flow noise
1167-135,flow noise
1167-136,flow noise
1167-137,flow noise
1167-138,flow noise
1167-139,flow noise
1167-140,flow noise
1167-141,flow noise
1167-142,flow noise
1167-143,flow noise
1167-144,flow noise
1167-145,flow noise
1167-146,flow noise
1167-147,flow noise
1167-148,flow noise
1167-149,flow noise
1167-150,flow noise
1167-151,flow noise
1167-152,flow noise
1167-153,flow noise
1167-154,flow noise
1167-155,flow noise
1167-156,flow noise
1167-157,flow noise
1167-158,flow noise
1167-159,flow noise
1167-160,flow noise
1167-161,flow noise
1167-162,flow noise
1167-163,flow noise
1167-164,flow noise
1167-165,flow noise
1167-166,flow noise
1167-167,flow noise
1167-168,flow noise
1167-169,flow noise
1167-170,flow noise
1167-171,flow noise
1167-172,flow noise
1167-173,flow noise
1167-174,flow noise
1167-175,flow noise
1167-176,flow noise
1167-177,flow noise
1168-446,humpback
1168-447,humpback
1168-448,humpback
1168-450,humpback
1168-451,humpback
1171-1129,mooring
1171-1130,mooring
1171-1131,mooring
1171-1133,flow noise
1171-1134,flow noise
1171-1135,flow noise
1171-1136,flow noise
1171-1137,flow noise
1171-1138,flow noise-mooring
1171-1139,flow noise-mooring
1171-1140,flow noise-mooring
1171-1141,flow noise-mooring
1171-1142,flow noise-mooring
1171-1152,mooring
1171-1153,mooring
1171-1154,mooring
1171-1155,mooring
1171-1160,flow noise
1171-1161,flow noise
1171-1162,flow noise
1171-1163,flow noise
1171-1164,flow noise
1171-1165,flow noise
1171-1166,flow noise-mooring
1171-1167,flow noise-mooring
1171-1168,flow noise-mooring
1171-1169,flow noise
1171-1170,flow noise
1171-1171,flow noise
1171-1172,flow noise
1171-1176,mooring
1171-1177,mooring
1171-1438,mooring
1171-1439,mooring
1171-1440,mooring
1171-1441,mooring
1171-1442,mooring
1171-1443,mooring
1171-1445,mooring
1171-1446,mooring
1171-1447,mooring
1171-1448,mooring
1171-1451,mooring
1171-1452,mooring
1171-1453,mooring
1171-1456,mooring
1171-1457,mooring
1171-1458,mooring
1171-1459,mooring
1171-1460,mooring
1171-1461,mooring
1171-1462,mooring
1171-1463,flow noise
1171-1464,flow noise
1171-1465,flow noise
1171-1466,flow noise
1171-1467,flow noise
1171-1468,flow noise
1171-1469,flow noise
1171-1470,mooring
1171-1471,mooring
1171-1472,mooring
1171-1493,mooring
1171-1494,mooring
1171-1627,mooring
1171-1628,mooring
1171-1629,mooring
1171-1630,mooring
1171-1640,mooring
1171-1641,mooring
1171-1642,mooring
1171-1643,mooring
1171-1644,mooring
1171-1646,flow noise
1171-1647,flow noise
1171-1648,flow noise
1171-1649,flow noise
1171-1650,flow noise
1171-1651,flow noise
1171-1654,flow noise
1171-1655,flow noise
1171-1656,flow noise
1171-1657,flow noise
1171-1658,flow noise
1171-1659,flow noise
1171-1660,flow noise
1171-1661,flow noise
1171-1662,flow noise
1171-1663,flow noise
1171-1665,flow noise-mooring
1171-1666,flow noise-mooring
1171-1667,flow noise-mooring
1171-1668,flow noise
