vggish_point,label
1056-155,humpback
1056-156,humpback
1056-159,humpback
1056-160,humpback
1056-161,humpback
1056-162,humpback
1056-163,humpback
1056-164,humpback
1056-165,humpback
1056-169,humpback
1056-170,humpback
1056-171,humpback
1056-172,humpback
1056-173,humpback
1056-174,humpback
1056-177,humpback
1056-178,humpback
1056-510,flow noise-humpback
1056-511,flow noise-humpback
1056-512,flow noise
1056-520,humpback
1056-521,humpback
1056-523,humpback
1056-527,humpback
1056-528,humpback
1056-532,humpback
1056-533,humpback
1056-536,humpback
1056-537,humpback
1057-0,calibration
1057-560,mooring
1057-561,mooring
1057-564,mooring
1057-565,mooring
1061-0,calibration
1061-256,humpback
1061-257,humpback
1061-259,humpback
1073-0,calibration
1073-600,boat
1073-601,boat
1073-602,boat
1073-603,boat
1073-604,boat
1073-605,boat
1073-606,boat
1073-607,boat
1073-608,boat
1073-609,boat
1073-610,boat
1073-611,boat
1073-612,boat
1073-613,boat
1073-614,boat
1073-615,boat
1073-616,boat
1073-617,boat
1073-618,boat
1073-619,boat
1073-620,boat
1073-621,boat
1073-622,boat
1073-623,boat
1073-624,boat
1073-625,boat
1073-626,boat
1073-627,boat
1073-628,boat
1073-629,boat
1073-630,boat
1073-631,boat
1073-632,boat
1073-633,boat
1073-634,boat
1073-635,boat
1073-636,boat
1073-637,boat
1073-638,boat
1073-639,boat
1073-640,boat
1073-641,boat
1073-642,boat
1073-643,boat
1073-644,boat
1073-645,boat
1073-646,boat
1073-647,boat
1073-648,boat
1073-649,boat
1073-650,boat
1073-651,boat
1073-652,boat
1073-653,boat
1073-654,boat
1073-655,boat
1073-656,boat
1073-657,boat
1073-658,boat
1073-659,boat
1073-660,boat
1073-661,boat
1073-662,boat
1073-663,boat
1073-664,boat
1073-665,boat
1073-666,boat
1073-667,boat
1073-668,boat
1073-669,boat
1073-670,boat
1073-671,boat
1073-672,boat
1073-673,boat
1073-674,boat
1073-675,boat
1073-676,boat
1073-677,boat
1073-678,boat
1073-679,boat
1073-680,boat
1073-681,boat
1073-682,boat
1073-683,boat
1073-684,boat
1073-685,boat
1073-686,boat
1073-687,boat
1073-688,boat
1073-689,boat
1073-750,boat
1073-751,boat
1073-752,boat
1073-753,boat
1073-754,boat
1073-755,boat
1073-756,boat
1073-757,boat
1073-758,boat
1073-759,boat
1073-760,boat
1073-761,boat
1073-762,boat
1073-763,boat
1073-764,boat
1073-765,boat
1073-766,boat
1073-767,boat
1073-768,boat
1073-769,boat
1073-770,boat
1073-771,boat
1073-772,boat
1073-773,boat
1073-774,boat
1073-775,boat
1073-776,boat
1073-777,boat
1073-778,boat
1073-779,boat
1074-0,calibration
1074-120,flow noise
1074-121,flow noise
1074-126,humpback
1074-127,humpback
1074-134,humpback
1074-135,humpback
1079-0,calibration
1079-843,humpback
1079-844,humpback
1079-846,humpback
1079-847,humpback
1079-858,humpback
1079-859,humpback
1079-861,humpback
1079-862,humpback
1082-0,calibration
1082-660,humpback
1082-661,humpback
1082-662,humpback
1082-663,humpback
1082-665,humpback
1082-666,humpback
1082-667,humpback
1082-668,humpback
1082-670,humpback
1082-672,humpback
1082-673,humpback
1082-674,humpback
1082-675,humpback
1082-677,humpback
1082-679,humpback
1082-680,humpback
1082-681,humpback
1082-683,humpback
1082-684,humpback
1082-685,humpback
1082-686,humpback
1087-0,calibration
1087-844,mooring
1087-845,mooring
1087-858,mooring
1087-859,mooring
1087-861,mooring
1087-862,mooring
11-0,calibration
11-841,humpback
11-842,humpback
11-843,humpback
11-845,humpback
11-846,humpback
11-848,helicopter
11-849,helicopter
11-850,helicopter
11-851,helicopter
11-852,helicopter
11-853,helicopter
11-854,humpback
11-855,humpback
11-856,humpback
11-857,humpback
11-858,humpback
11-859,humpback
11-861,humpback
11-862,humpback
110-0,calibration
110-214,humpback
110-215,humpback
110-217,humpback
110-218,humpback
110-222,flow noise
110-223,flow noise
110-224,flow noise
110-225,flow noise
110-226,flow noise
110-227,flow noise
110-228,flow noise
110-229,flow noise
110-230,flow noise
110-231,flow noise
110-232,humpback
110-233,humpback
110-235,humpback
110-236,humpback
1101-0,calibration
1101-547,humpback
1101-548,humpback-mooring
1101-549,fish-mooring
1101-550,fish
1101-551,fish
1101-553,fish
1101-554,fish
1101-555,fish
1101-556,fish
1101-557,fish
1101-558,fish
1101-561,humpback
1101-562,humpback
1104-0,calibration
1104-150,humpback
1104-151,humpback
1104-152,humpback
1104-153,humpback
1104-154,flow noise-humpback
1104-155,flow noise-humpback
1104-156,humpback
1104-157,humpback
1104-158,humpback
1104-159,humpback
1104-160,humpback
1104-161,humpback
1104-162,humpback
1104-163,humpback
1104-164,humpback
1104-165,humpback
1104-166,humpback
1104-167,humpback
1104-168,humpback
1104-169,humpback
1104-170,humpback
1104-171,humpback
1104-172,humpback
1104-173,humpback
1104-174,humpback
1104-175,humpback
1104-177,humpback
1104-178,humpback
1104-600,humpback
1104-601,humpback
1104-602,humpback
1104-603,humpback
1104-604,humpback
1104-605,humpback
1104-606,humpback
1104-607,humpback
1104-608,humpback
1104-609,humpback
1104-610,humpback
1104-611,humpback
1104-612,humpback
1104-613,humpback
1104-614,humpback
1104-615,humpback
1104-616,humpback
1104-617,humpback
1104-618,humpback
1104-619,humpback
1104-620,humpback
1104-621,humpback
1104-623,humpback
1104-624,humpback
1104-625,humpback
1104-626,humpback
1104-628,humpback
1104-629,humpback
1104-630,humpback
1109-0,calibration
1109-18,fish
1109-19,fish
1109-20,fish
1109-21,fish
1109-22,fish
1109-23,fish
1109-25,fish
1109-26,fish
1109-27,fish
1109-28,fish
1111-0,calibration
1111-761,flow noise
1111-762,flow noise
1111-763,flow noise
1111-764,flow noise
1111-765,flow noise
1111-766,flow noise
1111-767,flow noise
1114-0,calibration
1114-19,humpback
1114-20,humpback
1114-5,humpback
1114-6,humpback
1114-8,humpback
1117-0,calibration
1117-660,flow noise-mooring
1117-661,flow noise-mooring
1117-662,flow noise-mooring
1117-663,flow noise-mooring
1117-664,flow noise-mooring
1117-665,flow noise
1117-666,flow noise
1117-667,flow noise
1117-668,flow noise
1117-669,flow noise
1117-670,flow noise
1117-675,flow noise
1117-676,flow noise
1117-677,flow noise
1117-686,flow noise
1117-687,flow noise
1126-0,calibration
1126-630,flow noise
1126-631,flow noise
1126-632,flow noise-mooring
1126-633,flow noise-mooring
1126-634,flow noise-mooring
1126-635,flow noise
1126-636,flow noise
1126-637,flow noise-mooring
1126-638,flow noise-mooring
1126-640,mooring
1126-641,flow noise-mooring
1126-642,flow noise-mooring
1126-643,flow noise
1126-644,flow noise
1126-645,flow noise
1126-646,flow noise
1126-647,flow noise
1126-648,flow noise
1126-649,flow noise
1126-650,flow noise
1126-651,flow noise
1126-652,flow noise
1126-653,flow noise
1126-654,flow noise
1126-655,flow noise-mooring
1126-656,flow noise-mooring
1126-657,flow noise-mooring
1126-658,flow noise
1126-659,flow noise
1126-780,flow noise-mooring
1126-781,flow noise-mooring
1126-782,flow noise-mooring
1126-783,flow noise-mooring
1126-784,flow noise
1126-785,flow noise
1126-786,flow noise
1126-803,flow noise
1126-804,flow noise-mooring
1126-805,flow noise-mooring
1126-806,flow noise
1129-0,calibration
1129-211,mooring
1129-212,mooring
1129-234,mooring
1129-235,flow noise-mooring
1129-236,flow noise
1129-237,flow noise
1129-238,flow noise
1129-239,flow noise
1129-639,mooring
1129-640,flow noise-mooring
1129-641,flow noise
1129-642,flow noise
1129-643,flow noise
1129-644,flow noise
1129-645,flow noise-mooring
1129-646,flow noise-mooring
1129-647,flow noise-mooring
1129-648,flow noise
1129-649,flow noise
1129-650,flow noise
1129-651,flow noise
1129-652,flow noise
1129-653,flow noise
1129-654,flow noise
1129-655,flow noise-mooring
1129-656,flow noise
1129-657,flow noise
1129-658,flow noise
1129-659,flow noise
1129-731,flow noise
1129-732,flow noise
1129-733,flow noise
1129-734,flow noise
1129-735,flow noise
1129-736,flow noise
1129-737,flow noise
1129-738,flow noise
1129-739,flow noise
1129-740,flow noise
1129-741,flow noise
1129-744,flow noise
1129-745,flow noise
1129-746,flow noise
1129-747,flow noise
1129-748,flow noise
1129-749,flow noise
1135-0,calibration
1135-482,humpback
1135-490,humpback
1135-491,humpback
1135-501,humpback
1135-502,humpback
1135-503,humpback
1135-504,humpback
1150-0,calibration
1150-499,helicopter
1150-500,helicopter
1150-501,helicopter
1150-502,helicopter
1150-503,helicopter
1150-504,helicopter
1150-505,helicopter
1155-0,calibration
1155-105,humpback
1155-106,humpback
1155-107,humpback
1155-108,humpback
1155-109,humpback
1155-117,humpback
1155-118,humpback
1155-119,humpback
1155-721,humpback
1155-722,humpback
1155-723,humpback
1155-724,humpback
1155-725,humpback
1155-726,humpback
1155-727,humpback
1155-728,humpback
1155-729,humpback
1155-730,humpback
1155-731,humpback
1155-732,humpback
1155-733,humpback
1155-734,humpback
1155-736,humpback
1155-737,humpback
1155-738,humpback
1155-739,humpback
1155-740,humpback
1155-741,humpback
1155-742,humpback
1155-743,humpback
1155-744,humpback
1155-745,humpback
1155-746,humpback
1155-747,humpback
1155-93,humpback
1155-94,humpback
1155-96,humpback
1155-97,humpback
1157-0,calibration
1157-750,humpback
1157-751,humpback
1157-752,humpback
1157-753,humpback
1157-754,humpback
1157-755,humpback
1157-756,humpback
1157-758,humpback
1157-759,humpback
1157-760,humpback
1157-761,humpback
1157-762,humpback
1157-766,humpback
1157-769,humpback
1157-770,humpback
1157-771,humpback
1157-772,humpback
1157-773,humpback
1157-774,humpback
1157-775,humpback
1157-776,humpback
1157-777,humpback
1157-778,humpback
1157-779,humpback
1159-0,calibration
1159-120,humpback
1159-121,humpback
1159-125,humpback
1159-130,humpback
1159-132,humpback
1159-133,humpback
1159-134,humpback
1159-139,humpback
1159-140,humpback
1159-142,humpback
1159-143,humpback
1159-146,humpback
1159-147,humpback
1164-0,calibration
1164-348,airplane
1164-349,airplane
1164-350,airplane
1164-351,airplane
1166-0,calibration
1166-877,humpback
1166-878,humpback
1166-892,humpback
1166-893,humpback
1167-0,calibration
1167-60,flow noise
1167-61,flow noise
1167-62,flow noise
1167-63,flow noise
1167-64,flow noise
1167-65,flow noise
1167-66,flow noise
1167-67,flow noise
1167-68,flow noise
1167-69,flow noise
1167-70,flow noise
1167-71,flow noise
1167-72,flow noise
1167-73,flow noise
1167-74,flow noise
1167-75,flow noise
1167-76,flow noise
1167-77,flow noise
1167-78,flow noise
1167-79,flow noise
1167-80,flow noise
1167-81,flow noise
1167-82,flow noise
1167-83,flow noise
1167-84,flow noise
1167-85,flow noise
1168-0,calibration
1168-214,humpback
1168-215,humpback
1168-216,humpback
1171-0,calibration
1171-396,flow noise
1171-397,flow noise
1171-398,flow noise
1171-399,flow noise
1171-400,flow noise
1171-401,flow noise
1171-402,flow noise
1171-403,flow noise
1171-404,flow noise-mooring
1171-405,flow noise-mooring
1171-406,flow noise
1171-407,flow noise-mooring
1171-408,flow noise-mooring
1171-409,flow noise
1171-410,flow noise
1171-411,flow noise
1171-412,flow noise
1171-415,flow noise
1171-416,flow noise
1171-417,flow noise
1171-418,flow noise
1171-542,mooring
1171-544,flow noise
1171-545,flow noise
1171-546,flow noise-mooring
1171-547,flow noise-mooring
1171-548,flow noise-mooring
1171-553,mooring
1171-554,mooring
1171-557,flow noise
1171-558,flow noise
1171-559,flow noise-mooring
1171-560,flow noise-mooring
1171-561,flow noise
1171-562,flow noise
1171-564,mooring
1171-565,mooring
1171-690,mooring
1171-691,mooring
1171-692,mooring
1171-693,mooring
1171-694,mooring
1171-695,mooring
1171-696,mooring
1171-697,mooring
1171-698,mooring
1171-699,mooring
1171-700,mooring
1171-701,mooring
1171-702,flow noise-mooring
1171-703,flow noise
1171-704,flow noise
1171-705,flow noise-mooring
1171-706,mooring
1171-707,mooring
1171-716,mooring
1171-717,mooring
1171-781,mooring
1171-782,mooring
1171-787,mooring
1171-788,mooring
1171-789,mooring
1171-790,flow noise
1171-791,flow noise
1171-792,flow noise
1171-794,flow noise
1171-795,flow noise
1171-796,flow noise
1171-797,flow noise
1171-798,flow noise
1171-799,flow noise-mooring
1171-800,flow noise-mooring
1171-801,flow noise
1171-802,flow noise
1171-803,flow noise
1171-804,flow noise
1171-805,flow noise
1171-806,flow noise
1171-807,flow noise
1171-808,flow noise
1171-809,flow noise
1173-0,calibration
1173-407,mooring
1173-408,mooring
1173-409,mooring
1173-413,mooring
1173-414,mooring
1173-647,mooring
1173-648,mooring
1173-649,mooring
1173-650,mooring
1173-651,mooring
1173-652,mooring
1173-653,mooring
1184-0,calibration
1184-303,flow noise
1184-304,flow noise
1184-305,flow noise
1184-306,flow noise-humpback
1184-307,humpback
1184-319,humpback
1184-320,humpback
1184-326,humpback
1184-327,humpback
1184-328,humpback
1184-329,humpback
1187-0,calibration
1187-391,humpback
1187-392,humpback
1187-393,humpback
1187-394,humpback
1187-395,humpback
1187-396,humpback
1187-397,humpback
1187-398,humpback
1187-399,humpback
1187-400,humpback
1187-401,humpback
1187-402,humpback
1187-403,humpback
1187-404,humpback
1187-405,humpback
1187-406,humpback
1187-407,humpback
1187-408,humpback
1187-409,humpback
1187-410,humpback
1187-411,humpback
1187-412,humpback
1187-413,humpback
1187-414,humpback
1187-415,humpback
1187-416,humpback
1187-417,humpback
1187-418,humpback
1187-419,humpback
1187-420,humpback
1188-0,calibration
1188-811,flow noise
1188-812,flow noise
1188-813,flow noise
1188-814,flow noise
1188-815,flow noise
1188-816,flow noise
1188-817,flow noise
1188-818,flow noise
1188-819,flow noise
1188-820,flow noise-humpback
1188-821,flow noise-humpback
1188-822,flow noise
1188-823,flow noise
1188-824,flow noise
1188-825,flow noise
1188-826,flow noise
1188-827,flow noise-humpback
1188-828,flow noise-humpback
1188-829,flow noise
1188-830,flow noise
1188-836,humpback
1188-837,humpback
1188-839,humpback
1191-0,calibration
1191-135,flow noise
1191-136,flow noise
1191-137,flow noise
1191-138,flow noise
1191-139,flow noise
1191-437,flow noise
1191-438,flow noise
1191-439,flow noise-mooring
1191-440,fish-flow noise-mooring
1191-441,fish-flow noise
1191-442,fish-flow noise
1191-443,flow noise
1191-444,flow noise
1191-445,flow noise
1191-541,flow noise
1191-542,flow noise
1191-543,flow noise
1191-544,flow noise
1191-545,flow noise
1191-546,flow noise
1191-547,flow noise
1191-548,flow noise
1191-549,flow noise
1191-550,flow noise
1191-551,flow noise
1191-557,flow noise
1191-558,flow noise
1191-604,flow noise
1191-605,flow noise
1191-606,flow noise
1191-607,flow noise
1191-608,flow noise
1191-609,flow noise
1191-610,flow noise
1191-611,flow noise-mooring
1191-612,mooring
1191-613,mooring
1191-620,mooring
1191-621,mooring
1191-623,mooring
1191-624,mooring
1191-629,mooring
1191-769,mooring
1191-770,mooring
1191-881,flow noise
1191-882,flow noise
1191-883,flow noise
1191-884,flow noise-mooring
1191-885,flow noise-mooring
1191-886,flow noise
1197-0,calibration
1197-150,flow noise
1197-151,flow noise
1197-152,flow noise
1197-153,flow noise
1197-154,flow noise
1197-155,flow noise
1197-156,flow noise
1197-157,flow noise
1197-158,flow noise
1197-159,flow noise
1197-160,flow noise
1197-161,flow noise
1197-162,flow noise
1197-163,flow noise
1197-164,flow noise
1197-165,flow noise
1197-166,flow noise
1197-167,flow noise
1197-168,flow noise
1197-169,flow noise
1197-170,flow noise
1197-177,flow noise
1197-178,flow noise
1197-179,flow noise
120-0,calibration
120-247,humpback
120-248,humpback
120-250,humpback
120-251,humpback
120-262,humpback
120-265,fish
120-266,fish
120-267,fish
1205-0,calibration
1205-101,humpback
1205-111,humpback
1205-112,humpback
1205-114,humpback-mooring
1205-115,humpback-mooring
1205-98,humpback
1205-99,humpback
121-0,calibration
121-510,flow noise
121-511,flow noise
121-512,flow noise
121-513,flow noise
121-514,flow noise
121-515,flow noise
121-516,flow noise
121-517,flow noise
121-518,flow noise
121-519,flow noise
121-520,flow noise
121-521,flow noise
121-522,flow noise
121-523,flow noise
121-524,flow noise
121-525,flow noise
121-526,flow noise
121-527,flow noise
121-528,flow noise
121-529,flow noise
121-530,flow noise
121-531,flow noise
121-532,flow noise
121-533,flow noise
121-534,flow noise
121-535,flow noise
121-536,flow noise
121-537,flow noise
121-538,flow noise
121-539,flow noise
121-841,flow noise
121-842,flow noise
121-846,flow noise
121-847,flow noise
121-848,flow noise
121-849,flow noise
121-850,flow noise
121-851,flow noise
121-852,flow noise
121-853,flow noise
121-854,flow noise
121-855,flow noise
121-856,flow noise
121-857,flow noise
121-858,flow noise
121-859,flow noise
121-860,flow noise
121-861,flow noise
121-862,flow noise
121-863,flow noise
121-864,flow noise
121-865,flow noise
121-866,flow noise
121-867,flow noise
1210-0,calibration
1210-810,humpback
1210-811,humpback
1210-812,humpback
1210-813,humpback
1210-814,humpback
1210-815,humpback
1210-825,humpback
1210-826,humpback
1210-827,humpback
1210-828,fish-humpback
1210-829,fish-humpback
1210-830,fish
1210-831,fish
1210-832,fish
1210-838,humpback
1210-839,humpback
1220-0,calibration
1220-360,flow noise
1220-361,flow noise-mooring
1220-362,flow noise-mooring
1220-363,flow noise
1220-364,flow noise-mooring
1220-365,flow noise-mooring
1220-366,flow noise
1220-367,flow noise
1220-368,flow noise
1220-369,flow noise
1220-370,flow noise-mooring
1220-371,flow noise-mooring
1220-372,flow noise-mooring
1220-373,flow noise
1220-374,flow noise
1220-375,flow noise
1220-376,flow noise
1220-384,mooring
1220-385,mooring
1220-386,mooring
1220-540,flow noise
1220-541,flow noise
1220-542,flow noise
1220-544,flow noise-mooring
1220-545,flow noise-mooring
1220-546,flow noise-mooring
1220-547,flow noise
1220-548,flow noise
1220-549,flow noise
1220-550,flow noise
1220-551,flow noise
1220-552,flow noise
1220-553,flow noise
1220-554,flow noise
1220-555,flow noise
1220-556,flow noise-mooring
1220-557,flow noise-mooring
1220-558,flow noise
1220-559,flow noise
1220-560,flow noise
1220-561,flow noise
1220-562,flow noise
1220-563,flow noise
1220-564,flow noise-mooring
1220-565,flow noise-mooring
1220-566,flow noise-mooring
1220-567,flow noise
1220-568,flow noise
1220-569,flow noise
1229-0,calibration
1229-390,humpback
1229-391,humpback
1229-392,humpback
1229-397,humpback
1229-398,humpback
1229-399,humpback
1229-400,humpback
1229-401,humpback
1229-402,humpback
1229-403,humpback
1229-404,humpback
1229-405,humpback
1229-409,humpback
1229-410,humpback
1229-412,humpback
1229-413,humpback
1229-414,humpback
1229-415,humpback
1229-416,humpback
1230-0,calibration
1230-660,humpback
1230-661,humpback
1230-662,humpback
1230-663,humpback
1230-664,humpback
1230-665,humpback
1230-666,humpback
1230-667,humpback
1230-668,humpback
1230-670,humpback
1230-672,humpback
1230-673,humpback
1230-674,humpback
1230-675,humpback
1230-676,humpback
1230-677,humpback
1230-678,humpback
1230-679,humpback
1230-680,humpback
1230-681,humpback
1230-682,humpback
1230-683,humpback
1230-684,humpback
1230-685,humpback
1230-686,humpback
1230-687,humpback
1230-688,humpback
1230-689,humpback
1230-690,humpback
1237-0,calibration
1237-221,flow noise
1237-222,flow noise
1237-223,flow noise
1237-224,flow noise
1237-225,flow noise
1237-226,flow noise
1237-227,flow noise
1237-228,flow noise
1237-229,flow noise
1237-230,flow noise
1237-231,flow noise
1237-232,flow noise
1237-233,flow noise
1237-234,flow noise
1237-235,flow noise
1237-236,flow noise
1237-237,flow noise
1237-238,flow noise
1237-239,flow noise
1240-0,calibration
1240-457,flow noise
1240-458,flow noise
1240-459,flow noise
1240-460,flow noise
1240-461,flow noise
1240-462,flow noise
1240-463,flow noise-mooring
1240-464,flow noise-mooring
1240-465,flow noise
1240-466,flow noise
1240-467,fish-flow noise
1240-468,fish-flow noise
1240-469,fish-flow noise
1240-470,fish-flow noise
1240-471,fish
1240-472,mooring
1240-473,flow noise-mooring
1240-474,flow noise
1240-475,flow noise
1241-0,calibration
1241-271,humpback
1241-272,humpback
1241-274,humpback
1241-275,humpback
1241-276,humpback
1241-278,humpback
1241-279,humpback
1241-284,humpback
1241-285,humpback
1241-287,humpback
1241-288,humpback
1241-290,humpback
1241-291,humpback
1241-292,flow noise-humpback
1241-293,flow noise
1241-294,flow noise
1241-295,flow noise
1241-296,flow noise
1241-297,flow noise-humpback
1241-298,flow noise-humpback
1241-299,flow noise
1241-541,humpback
1241-543,humpback
1241-544,humpback
1241-545,humpback
1241-546,humpback
1241-547,humpback
1241-548,humpback
1241-549,humpback
1241-550,humpback
1241-552,humpback
1241-553,humpback
1241-555,humpback
1241-556,humpback
1241-557,humpback
1241-558,humpback
1241-559,humpback
1241-560,flow noise-humpback
1241-561,flow noise-humpback
1241-562,flow noise-humpback
1241-563,flow noise-humpback
1241-564,humpback
1241-565,humpback
1241-566,humpback
1241-568,humpback
1241-569,humpback
1241-572,humpback
1241-573,humpback
1241-574,humpback
1241-575,humpback
1241-576,flow noise-humpback
1241-577,flow noise
1241-578,flow noise
1241-579,flow noise
1241-580,flow noise
1241-581,flow noise
1241-582,flow noise
1241-583,flow noise
1241-584,flow noise
1241-585,flow noise
1241-586,flow noise
1241-587,flow noise
1241-588,flow noise-humpback
1241-589,flow noise-humpback
1241-590,flow noise-humpback
1241-591,humpback
1241-592,humpback
1241-596,flow noise
1241-597,flow noise
1241-599,humpback
1241-600,humpback
1247-0,calibration
1247-370,fish
1247-371,fish
1247-372,fish
1247-373,fish
1247-387,mooring
1247-388,mooring
1259-0,calibration
1259-62,humpback
1259-63,humpback
1259-65,humpback
1259-66,humpback
1259-67,humpback
1259-70,humpback
1259-85,airplane
1259-86,airplane
1259-88,humpback
1259-89,humpback
1265-0,calibration
1265-330,boat
1265-331,boat
1265-332,boat
1265-333,boat
1265-334,boat
1265-335,boat
1265-336,boat
1265-337,boat
1265-338,boat
1265-339,boat
1265-340,boat
1265-341,boat
1265-342,boat
1265-343,boat-flow noise
1265-344,boat-flow noise
1265-345,boat-flow noise-humpback
1265-346,boat-flow noise-humpback
1265-347,boat-flow noise
1265-348,boat-flow noise
1265-349,boat-flow noise
1265-350,boat-flow noise
1265-351,flow noise
1265-352,flow noise
1265-353,flow noise
1265-354,flow noise
1265-355,humpback
1265-356,humpback
1265-358,boat
1265-359,boat
1267-0,calibration
1267-660,flow noise
1267-661,flow noise
1267-662,flow noise
1267-663,flow noise
1267-664,flow noise-humpback
1267-665,airplane-flow noise
1267-666,airplane
1267-667,airplane
1267-668,flow noise
1267-669,flow noise-humpback
1267-670,flow noise-humpback
1267-671,flow noise
1267-672,flow noise-humpback
1267-673,humpback
1267-674,humpback
1267-675,humpback
1267-676,humpback
1267-677,humpback
1267-678,humpback
1267-679,flow noise-humpback
1267-680,flow noise-humpback
1267-682,humpback
1267-684,humpback
1267-685,humpback
1267-686,humpback
1267-687,humpback
1267-688,humpback
1267-689,humpback
1271-0,calibration
1271-668,humpback
1271-669,humpback
1271-670,humpback
1271-682,humpback
1271-683,humpback
1271-685,humpback
1271-686,humpback
1277-0,calibration
1277-660,boat
1277-661,boat
1277-662,boat-humpback
1277-663,boat-humpback
1277-664,boat-humpback
1277-665,boat-humpback
1277-666,boat
1277-667,boat
1277-668,boat-humpback
1277-669,boat-humpback
1277-670,boat-humpback
1277-671,boat-humpback
1277-672,boat
1277-673,boat-humpback
1277-674,boat-humpback
1277-675,boat-humpback
1277-676,boat-humpback
1277-677,boat-humpback
1277-678,boat-humpback
1277-679,boat-humpback
1277-680,boat
1277-681,boat
1277-682,boat
1277-683,boat-humpback
1277-684,boat
1277-685,boat
1277-686,boat-humpback
1277-687,boat
1277-688,boat
1277-689,boat
1283-0,calibration
1283-31,flow noise
1283-32,flow noise
1283-33,flow noise
1283-34,flow noise
1283-35,flow noise
1283-36,flow noise
1283-37,flow noise
1283-38,flow noise
1283-54,airplane
1283-55,airplane
1283-56,airplane
1283-57,airplane
1288-0,calibration
1288-367,flow noise
1288-368,flow noise
1288-369,flow noise
1288-370,flow noise
1288-371,flow noise
1288-372,flow noise
1288-373,flow noise
1288-374,flow noise
1288-375,flow noise
1288-376,flow noise
1288-377,flow noise
1288-378,flow noise
1288-379,flow noise
1288-380,flow noise
1288-381,flow noise
1288-386,flow noise
1288-387,flow noise
1288-388,flow noise
1288-389,flow noise
1292-0,calibration
1292-100,boat
1292-101,boat
1292-102,boat
1292-103,boat
1292-104,boat
1292-105,boat-flow noise
1292-106,boat-flow noise
1292-107,boat-flow noise
1292-108,boat-flow noise
1292-109,boat
1292-110,boat
1292-111,boat
1292-112,boat
1292-113,boat
1292-114,boat
1292-115,boat
1292-116,boat
1292-117,boat
1292-118,boat
1292-119,boat
1292-90,boat
1292-91,boat
1292-92,boat
1292-93,boat
1292-94,boat
1292-95,boat
1292-96,boat
1292-97,boat
1292-98,boat
1292-99,boat
1298-0,calibration
1298-315,mooring
1298-316,mooring
1298-317,mooring
